model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_raw,1e-05,,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,0.33,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,0.33,3,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-06,0.33,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,0.33,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,0.33,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,0.33,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,0.33,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_sigmoid_raw,1e-07,,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,0.33,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,0.33,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,0.33,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,0.33,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,0.33,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,0.33,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,0.33,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,0.33,3,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,0.33,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,0.33,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,0.33,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,0.33,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,0.33,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,0.33,1,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-05,0.33,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,0.33,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,0.33,1,0.4528301886792453,1.0,0.0
